iter	RMSE
0	508.9181223
1	506.850649
2	505.8441452
3	505.0112476
4	504.2141657
5	502.5660973
6	500.4667493
7	497.7302237
8	497.0098596
9	496.2650149
10	495.101521
11	493.530288
12	492.8193453
13	492.0340884
14	490.8755845
15	489.9125521
16	488.6747452
17	486.9825488
18	484.7637788
19	483.6487025
20	483.0131738
21	482.2753931
22	480.7065683
23	479.5345972
24	477.9054637
25	477.2772642
26	475.7617985
27	474.1633563
28	473.1290552
29	471.4139133
30	470.6807393
31	469.7512672
32	468.9379388
33	467.8257083
34	466.3191791
35	464.8036907
36	463.7097915
37	462.8659059
38	460.9960965
39	459.6840809
40	458.9489583
41	458.0169396
42	456.7918771
43	455.5081003
44	454.1307426
45	453.0705959
46	452.3897769
47	451.3076927
48	450.6451682
49	450.0893201
50	449.5334799
51	449.065694
52	447.7473057
53	447.3821438
54	446.7537195
55	445.7120666
56	445.3649812
57	444.4481894
58	443.9318929
59	442.9452561
60	441.7781943
61	441.2343553
62	440.6086581
63	439.486631
64	438.4816932
65	437.6212903
66	436.8188104
67	436.4043221
68	435.6825545
69	434.801089
70	434.2563237
71	433.0865825
72	431.771048
73	431.4214242
74	430.6835895
75	430.2742084
76	429.2021005
77	428.7588395
78	427.8612679
79	427.4629864
80	426.6434412
81	425.941768
82	424.9903851
83	424.5930573
84	424.1895666
85	423.7521943
86	423.083116
87	422.4103425
88	421.6596197
89	421.0432942
90	419.9031981
91	419.4322285
92	418.6759284
93	418.0883261
94	417.6169732
95	417.0622015
96	416.65925
97	415.8854574
98	415.4101719
99	414.3268724
100	413.6714524
101	412.5124601
102	411.8644793
103	411.0356638
104	410.1128915
105	409.4867538
106	409.24027
107	408.6970034
108	408.1583997
109	407.4251796
110	406.7829954
111	406.0271281
112	404.3833446
113	403.7629605
114	402.6708735
115	401.7286416
116	401.2519779
117	400.7232267
118	399.9644365
119	399.5542216
120	398.6888878
121	397.8616453
122	397.3655121
123	396.796819
124	395.9670178
125	395.3387336
126	394.5818738
127	393.9397671
128	393.2961189
129	392.4796067
130	391.6111928
131	390.6683215
132	390.1267685
133	389.2904822
134	388.6458151
135	388.3308821
136	387.6633719
137	386.7988464
138	386.3113218
139	385.9078794
140	385.2309741
141	384.6909215
142	384.2655847
143	383.7319156
144	382.9898288
145	382.4749336
146	381.859675
147	381.4836101
148	380.9662643
149	380.3847092
150	379.6162365
151	379.2556597
152	378.9718774
153	378.6712873
154	378.1974637
155	377.5385733
156	376.9299291
157	375.8957428
158	375.5730779
159	375.1783896
160	374.7004491
161	374.1396869
162	373.1958527
163	372.7047722
164	371.6547147
165	371.0800299
166	370.123074
167	369.0318899
168	368.7921196
169	368.1666364
170	368.0216423
171	367.0236462
172	366.5922962
173	366.1850507
174	365.7975777
175	364.825004
176	364.3646432
177	364.2292504
178	363.9436109
179	363.5606821
180	362.7770385
181	361.962841
182	361.540718
183	361.2290627
184	360.6547293
