iter	Passed	Remaining
0	133	133114
1	136	68219
2	140	46539
3	143	35671
4	147	29347
5	150	24886
6	153	21790
7	156	19421
8	161	17832
9	165	16379
10	169	15219
11	172	14201
12	176	13375
13	179	12646
14	182	12012
15	186	11495
16	192	11146
17	196	10697
18	199	10307
19	202	9941
20	206	9634
21	209	9301
22	211	8976
23	213	8675
24	215	8403
25	217	8153
26	219	7916
27	222	7719
28	223	7499
29	225	7293
30	227	7101
31	228	6920
32	230	6750
33	231	6583
34	233	6426
35	234	6284
36	236	6168
37	238	6036
38	239	5907
39	241	5785
40	242	5669
41	243	5560
42	245	5457
43	246	5359
44	248	5263
45	249	5171
46	250	5087
47	252	5014
48	254	4934
49	255	4856
50	257	4782
51	258	4714
52	259	4643
53	261	4577
54	262	4511
55	263	4447
56	265	4386
57	266	4334
58	268	4283
59	269	4227
60	271	4174
61	272	4122
62	273	4071
63	275	4022
64	276	3975
65	277	3929
66	278	3882
67	280	3838
68	281	3800
69	283	3765
70	284	3726
71	286	3686
72	287	3653
73	289	3619
74	290	3586
75	292	3555
76	294	3527
77	295	3495
78	297	3468
79	299	3444
80	301	3416
81	302	3388
82	303	3358
83	305	3328
84	306	3300
85	307	3272
86	309	3245
87	310	3217
88	311	3192
89	313	3172
90	315	3152
91	316	3127
92	318	3102
93	319	3081
94	320	3057
95	322	3034
96	323	3011
97	324	2987
98	325	2965
99	327	2945
100	328	2927
101	331	2914
102	332	2893
103	333	2872
104	334	2852
105	335	2833
106	337	2813
107	338	2792
108	339	2772
109	340	2752
110	341	2733
111	342	2714
112	343	2695
113	345	2681
114	346	2666
115	347	2649
116	348	2632
117	350	2617
118	351	2601
119	352	2585
120	353	2570
121	354	2554
122	356	2541
123	357	2526
124	358	2512
125	360	2502
126	361	2488
127	363	2473
128	364	2459
129	365	2446
130	366	2432
131	367	2419
132	369	2405
133	370	2394
134	371	2382
135	373	2370
136	374	2358
137	375	2348
138	377	2338
139	378	2327
140	379	2314
141	381	2302
142	382	2290
143	383	2279
144	384	2268
145	386	2260
146	387	2249
147	388	2238
148	390	2228
149	391	2221
150	393	2213
151	395	2204
152	396	2196
153	398	2187
154	399	2177
155	400	2168
156	402	2158
157	403	2148
158	404	2139
159	405	2130
160	407	2124
161	409	2118
162	410	2109
163	412	2100
164	413	2091
165	414	2083
166	415	2074
167	417	2066
168	418	2057
169	419	2048
170	420	2040
171	422	2032
172	424	2031
173	426	2025
174	427	2017
175	429	2009
176	430	2000
177	430	1990
178	432	1982
179	433	1974
180	434	1967
181	435	1959
182	437	1951
183	439	1947
184	440	1942
185	442	1935
186	443	1929
187	445	1923
188	446	1918
189	448	1912
190	450	1908
191	451	1902
192	453	1897
193	455	1892
194	456	1885
195	458	1879
196	459	1874
197	461	1868
198	462	1862
199	464	1856
200	465	1850
201	466	1843
202	467	1837
203	470	1834
204	472	1831
205	473	1824
206	474	1818
207	476	1812
208	477	1806
209	478	1800
210	480	1794
211	481	1789
212	482	1782
213	483	1777
214	485	1773
215	487	1768
216	488	1763
217	490	1758
218	491	1752
219	492	1747
220	494	1741
221	495	1735
222	496	1730
223	498	1725
224	499	1720
225	501	1716
226	502	1711
227	503	1706
228	505	1700
229	506	1694
230	507	1689
231	508	1683
232	509	1678
233	511	1673
234	512	1668
235	514	1664
236	515	1661
237	518	1659
238	520	1656
239	521	1652
240	523	1648
241	524	1644
242	526	1639
243	528	1636
244	529	1632
245	531	1627
246	533	1625
247	534	1621
248	536	1618
249	537	1613
250	539	1609
251	540	1605
252	542	1602
253	544	1597
254	545	1592
255	546	1588
256	548	1585
257	550	1581
258	551	1577
259	553	1574
260	555	1571
261	556	1567
262	557	1562
263	558	1557
264	560	1553
265	561	1549
266	563	1547
267	565	1545
268	566	1540
269	568	1536
270	569	1532
271	570	1527
272	571	1522
273	573	1518
274	574	1514
275	575	1510
276	577	1507
277	579	1504
278	580	1500
279	582	1496
280	583	1492
281	584	1488
282	585	1484
283	586	1479
284	588	1475
285	589	1472
286	591	1468
287	592	1464
288	594	1462
289	596	1460
290	597	1456
291	599	1453
292	600	1449
293	602	1445
294	603	1442
295	604	1438
296	606	1434
297	607	1430
298	609	1428
299	611	1427
300	613	1423
301	614	1420
302	616	1417
303	617	1413
304	618	1409
305	619	1405
306	621	1402
307	623	1400
308	625	1398
309	627	1396
310	628	1392
311	630	1389
312	631	1385
313	632	1381
314	633	1378
315	635	1375
316	636	1371
317	638	1368
318	639	1365
319	641	1364
320	643	1361
321	644	1357
322	645	1353
323	646	1349
324	647	1345
325	649	1341
326	650	1338
327	651	1334
328	652	1330
329	653	1326
330	654	1322
331	656	1320
332	657	1317
333	659	1314
334	660	1311
335	661	1307
336	663	1305
337	664	1301
338	665	1297
339	666	1293
340	667	1290
341	669	1287
342	671	1285
343	673	1283
344	674	1281
345	676	1278
346	677	1275
347	679	1272
348	681	1270
349	682	1267
350	683	1264
351	684	1260
352	686	1258
353	689	1257
354	690	1254
355	691	1251
356	693	1248
357	694	1245
358	695	1242
359	697	1239
360	698	1236
361	699	1233
362	701	1230
363	704	1231
364	706	1229
365	708	1227
366	709	1224
367	710	1220
368	712	1217
369	713	1215
370	715	1212
371	716	1209
372	718	1207
373	720	1205
374	721	1203
375	723	1200
376	724	1197
377	726	1195
378	728	1193
379	729	1190
380	730	1186
381	731	1183
382	733	1182
383	736	1180
384	737	1178
385	738	1175
386	740	1172
387	741	1169
388	742	1166
389	744	1163
390	745	1160
391	746	1158
392	747	1155
393	749	1153
394	751	1151
395	753	1148
396	754	1145
397	755	1142
398	756	1140
399	758	1137
400	759	1134
401	760	1131
402	762	1128
403	763	1125
404	765	1124
405	766	1122
406	768	1119
407	769	1116
408	770	1113
409	771	1110
410	773	1108
411	774	1105
412	775	1102
413	777	1099
414	778	1097
415	779	1094
416	782	1093
417	783	1091
418	785	1088
419	786	1085
420	787	1083
421	788	1080
422	790	1077
423	791	1075
424	792	1072
425	794	1069
426	795	1067
427	797	1066
428	799	1064
429	800	1061
430	801	1058
431	803	1056
432	804	1053
433	805	1050
434	807	1048
435	808	1045
436	809	1042
437	811	1040
438	813	1039
439	814	1037
440	816	1035
441	818	1032
442	819	1030
443	820	1027
444	822	1025
445	823	1022
446	824	1019
447	825	1017
448	828	1016
449	830	1015
450	832	1013
451	834	1011
452	836	1010
453	838	1008
454	840	1006
455	844	1007
456	847	1006
457	849	1004
458	851	1003
459	852	1001
460	854	999
461	856	997
462	859	996
463	862	996
464	864	994
465	865	992
466	867	990
467	869	987
468	870	985
469	872	983
470	874	982
471	876	981
472	878	979
473	880	977
474	882	974
475	883	972
476	884	970
477	886	968
478	888	966
479	890	965
480	892	963
481	894	961
482	896	959
483	897	957
484	899	955
485	901	953
486	902	950
487	903	948
488	906	946
489	908	945
490	909	943
491	911	940
492	912	938
493	914	936
494	915	933
495	916	931
496	917	928
497	919	927
498	922	926
499	923	923
500	925	921
501	926	919
502	927	916
503	929	914
504	930	911
505	932	909
506	933	907
507	934	905
508	935	902
509	938	901
510	940	899
511	941	897
512	942	895
513	944	893
514	946	891
515	947	888
516	949	886
517	950	884
518	953	883
519	955	881
520	956	879
521	958	877
522	959	875
523	960	872
524	962	870
525	963	868
526	964	865
527	966	863
528	969	862
529	970	861
530	972	859
531	974	857
532	975	854
533	977	852
534	978	850
535	979	848
536	981	845
537	982	843
538	984	842
539	986	840
540	988	838
541	989	836
542	991	834
543	992	831
544	993	829
545	994	827
546	996	825
547	997	823
548	1000	822
549	1002	820
550	1005	819
551	1007	817
552	1009	815
553	1011	814
554	1013	812
555	1016	811
556	1018	810
557	1020	808
558	1022	806
559	1025	805
560	1026	803
561	1028	801
562	1030	800
563	1034	799
564	1037	798
565	1039	797
566	1041	794
567	1042	792
568	1043	790
569	1046	789
570	1048	787
571	1050	785
572	1051	783
573	1053	781
574	1055	780
575	1056	778
576	1058	776
577	1060	774
578	1061	772
579	1063	770
580	1065	768
581	1066	765
582	1067	763
583	1068	761
584	1070	759
585	1071	757
586	1072	754
587	1074	752
588	1075	750
589	1077	748
590	1079	747
591	1081	745
592	1083	743
593	1084	741
594	1086	739
595	1087	737
596	1088	735
597	1090	732
598	1092	731
599	1094	729
600	1095	727
601	1097	725
602	1098	723
603	1099	721
604	1101	718
605	1102	716
606	1103	714
607	1104	712
608	1106	710
609	1107	708
610	1109	706
611	1111	704
612	1112	702
613	1114	700
614	1115	698
615	1116	696
616	1118	694
617	1119	691
618	1120	689
619	1121	687
620	1123	685
621	1126	684
622	1127	682
623	1128	680
624	1130	678
625	1131	675
626	1132	673
627	1133	671
628	1134	669
629	1135	667
630	1137	665
631	1139	663
632	1141	661
633	1142	659
634	1144	657
635	1145	655
636	1146	653
637	1147	651
638	1149	649
639	1150	647
640	1151	645
641	1152	642
642	1154	641
643	1156	639
644	1158	637
645	1159	635
646	1161	633
647	1163	631
648	1164	629
649	1165	627
650	1167	625
651	1168	623
652	1171	622
653	1173	620
654	1175	619
655	1176	617
656	1178	615
657	1179	613
658	1180	611
659	1182	609
660	1183	607
661	1185	605
662	1187	603
663	1189	602
664	1191	600
665	1192	598
666	1193	596
667	1195	593
668	1196	591
669	1197	589
670	1198	587
671	1199	585
672	1201	583
673	1203	581
674	1204	580
675	1206	578
676	1207	576
677	1208	573
678	1209	571
679	1210	569
680	1212	567
681	1213	565
682	1214	563
683	1215	561
684	1217	560
685	1219	558
686	1220	556
687	1222	554
688	1223	552
689	1224	550
690	1225	548
691	1226	545
692	1227	543
693	1229	541
694	1230	539
695	1231	537
696	1234	536
697	1236	534
698	1237	532
699	1239	531
700	1240	529
701	1242	527
702	1243	525
703	1244	523
704	1245	521
705	1246	519
706	1248	517
707	1250	515
708	1251	513
709	1252	511
710	1253	509
711	1255	507
712	1256	505
713	1257	503
714	1258	501
715	1259	499
716	1260	497
717	1262	495
718	1263	493
719	1264	491
720	1266	490
721	1267	488
722	1268	486
723	1270	484
724	1271	482
725	1272	480
726	1273	478
727	1274	476
728	1276	474
729	1277	472
730	1279	470
731	1282	469
732	1285	468
733	1288	466
734	1290	465
735	1292	463
736	1294	462
737	1298	460
738	1301	459
739	1304	458
740	1305	456
741	1307	454
742	1308	452
743	1310	450
744	1312	449
745	1314	447
746	1316	445
747	1318	444
748	1319	442
749	1321	440
750	1322	438
751	1324	436
752	1326	435
753	1328	433
754	1330	431
755	1332	430
756	1334	428
757	1335	426
758	1337	424
759	1339	422
760	1340	421
761	1342	419
762	1344	417
763	1346	415
764	1347	414
765	1349	412
766	1351	410
767	1352	408
768	1353	406
769	1356	405
770	1357	403
771	1360	401
772	1362	399
773	1363	398
774	1365	396
775	1366	394
776	1368	392
777	1370	391
778	1371	389
779	1373	387
780	1377	386
781	1379	384
782	1383	383
783	1385	381
784	1387	379
785	1388	378
786	1390	376
787	1392	374
788	1394	372
789	1396	371
790	1398	369
791	1400	367
792	1403	366
793	1406	364
794	1408	363
795	1410	361
796	1411	359
797	1413	357
798	1415	356
799	1416	354
800	1418	352
801	1420	350
802	1422	349
803	1424	347
804	1425	345
805	1426	343
806	1427	341
807	1429	339
808	1430	337
809	1431	335
810	1432	333
811	1434	332
812	1436	330
813	1439	328
814	1441	327
815	1442	325
816	1443	323
817	1444	321
818	1446	319
819	1447	317
820	1448	315
821	1449	313
822	1452	312
823	1453	310
824	1455	308
825	1457	307
826	1459	305
827	1461	303
828	1463	301
829	1464	300
830	1467	298
831	1468	296
832	1470	294
833	1472	293
834	1474	291
835	1475	289
836	1476	287
837	1478	285
838	1479	283
839	1481	282
840	1482	280
841	1484	278
842	1486	276
843	1487	274
844	1489	273
845	1490	271
846	1492	269
847	1493	267
848	1494	265
849	1495	263
850	1496	262
851	1498	260
852	1499	258
853	1501	256
854	1503	254
855	1504	253
856	1505	251
857	1506	249
858	1507	247
859	1509	245
860	1510	243
861	1511	241
862	1512	240
863	1514	238
864	1515	236
865	1517	234
866	1518	232
867	1519	231
868	1521	229
869	1522	227
870	1523	225
871	1524	223
872	1526	222
873	1527	220
874	1528	218
875	1530	216
876	1531	214
877	1533	213
878	1534	211
879	1535	209
880	1536	207
881	1537	205
882	1539	203
883	1540	202
884	1541	200
885	1542	198
886	1544	196
887	1545	194
888	1547	193
889	1548	191
890	1550	189
891	1551	187
892	1552	186
893	1553	184
894	1554	182
895	1556	180
896	1557	178
897	1558	177
898	1559	175
899	1561	173
900	1563	171
901	1564	170
902	1566	168
903	1567	166
904	1568	164
905	1569	162
906	1570	161
907	1572	159
908	1573	157
909	1574	155
910	1576	153
911	1578	152
912	1579	150
913	1581	148
914	1582	147
915	1584	145
916	1585	143
917	1586	141
918	1588	139
919	1589	138
920	1590	136
921	1591	134
922	1593	132
923	1595	131
924	1596	129
925	1598	127
926	1599	125
927	1600	124
928	1601	122
929	1602	120
930	1603	118
931	1605	117
932	1606	115
933	1608	113
934	1610	111
935	1611	110
936	1612	108
937	1614	106
938	1615	104
939	1616	103
940	1618	101
941	1619	99
942	1620	97
943	1622	96
944	1623	94
945	1625	92
946	1627	91
947	1628	89
948	1630	87
949	1631	85
950	1633	84
951	1634	82
952	1636	80
953	1637	78
954	1639	77
955	1641	75
956	1642	73
957	1644	72
958	1645	70
959	1646	68
960	1648	66
961	1649	65
962	1650	63
963	1651	61
964	1653	59
965	1655	58
966	1657	56
967	1658	54
968	1659	53
969	1661	51
970	1662	49
971	1663	47
972	1665	46
973	1666	44
974	1667	42
975	1669	41
976	1670	39
977	1673	37
978	1674	35
979	1676	34
980	1677	32
981	1679	30
982	1680	29
983	1681	27
984	1683	25
985	1684	23
986	1685	22
987	1687	20
988	1689	18
989	1690	17
990	1692	15
991	1693	13
992	1694	11
993	1696	10
994	1697	8
995	1698	6
996	1700	5
997	1701	3
998	1703	1
999	1705	0
